YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_NM,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_NM,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,TAXI_OUT,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE,DISTANCE_GROUP,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2018,1,3,1,4,2018-03-01,F9,N201FR,1680,12889,LAS,"Las Vegas, NV",NV,Nevada,13204,MCO,"Orlando, FL",FL,Florida,30,221,111,111,18,1011,8,756,1019,143,143,0,,0,266,298,272,1,2039,9,20,0,32,0,91
2018,1,3,1,4,2018-03-01,F9,N201FR,681,13204,MCO,"Orlando, FL",FL,Florida,11292,DEN,"Denver, CO",CO,Colorado,900,1108,128,128,12,1302,8,1115,1310,115,115,0,,0,255,242,222,1,1546,7,4,0,0,0,111
2018,1,3,1,4,2018-03-01,F9,N201FR,681,11292,DEN,"Denver, CO",CO,Colorado,14747,SEA,"Seattle, WA",WA,Washington,1215,1358,103,103,13,1534,6,1413,1540,87,87,0,,0,178,162,143,1,1024,5,0,0,0,0,87
2018,1,3,1,4,2018-03-01,F9,N201FR,144,14747,SEA,"Seattle, WA",WA,Washington,11292,DEN,"Denver, CO",CO,Colorado,1514,1621,67,67,11,1940,8,1855,1948,53,53,0,,0,161,147,128,1,1024,5,0,0,0,0,53
2018,1,3,1,4,2018-03-01,F9,N201FR,122,11292,DEN,"Denver, CO",CO,Colorado,11298,DFW,"Dallas/Fort Worth, TX",TX,Texas,1955,2035,40,40,9,2307,10,2252,2317,25,25,0,,0,117,102,83,1,641,3,0,0,0,0,25
2018,1,3,1,4,2018-03-01,F9,N202FR,1138,12889,LAS,"Las Vegas, NV",NV,Nevada,10423,AUS,"Austin, TX",TX,Texas,845,836,-9,0,14,1306,10,1331,1316,-15,0,0,,0,166,160,136,1,1090,5,,,,,
2018,1,3,1,4,2018-03-01,F9,N202FR,1141,10423,AUS,"Austin, TX",TX,Texas,12889,LAS,"Las Vegas, NV",NV,Nevada,1421,1416,-5,0,12,1505,6,1525,1511,-14,0,0,,0,184,175,157,1,1090,5,,,,,
2018,1,3,1,4,2018-03-01,F9,N202FR,1106,12889,LAS,"Las Vegas, NV",NV,Nevada,12266,IAH,"Houston, TX",TX,Texas,1615,1611,-4,0,31,2108,7,2117,2115,-2,0,0,,0,182,184,146,1,1222,5,,,,,
2018,1,3,1,4,2018-03-01,F9,N202FR,1111,12266,IAH,"Houston, TX",TX,Texas,12889,LAS,"Las Vegas, NV",NV,Nevada,2207,2200,-7,0,20,2314,7,2342,2321,-21,0,0,,0,215,201,174,1,1222,5,,,,,
2018,1,3,1,4,2018-03-01,F9,N203FR,1236,13487,MSP,"Minneapolis, MN",MN,Minnesota,15304,TPA,"Tampa, FL",FL,Florida,704,700,-4,0,50,1132,8,1120,1140,20,20,0,,0,196,220,162,1,1306,6,0,0,20,0,0
2018,1,3,1,4,2018-03-01,F9,N203FR,1201,15304,TPA,"Tampa, FL",FL,Florida,12339,IND,"Indianapolis, IN",IN,Indiana,1210,1225,15,15,13,1431,10,1430,1441,11,11,0,,0,140,136,113,1,837,4,,,,,
2018,1,3,1,4,2018-03-01,F9,N203FR,1204,12339,IND,"Indianapolis, IN",IN,Indiana,15304,TPA,"Tampa, FL",FL,Florida,1520,1622,62,62,16,1831,6,1733,1837,64,64,0,,0,133,135,113,1,837,4,56,0,8,0,0
2018,1,3,1,4,2018-03-01,F9,N203FR,1209,15304,TPA,"Tampa, FL",FL,Florida,13342,MKE,"Milwaukee, WI",WI,Wisconsin,1825,1939,74,74,17,2125,5,2017,2130,73,73,0,,0,172,171,149,1,1075,5,16,0,0,0,57
2018,1,3,1,4,2018-03-01,F9,N203FR,1099,13342,MKE,"Milwaukee, WI",WI,Wisconsin,12889,LAS,"Las Vegas, NV",NV,Nevada,2107,2214,67,67,19,6,7,2259,13,74,74,0,,0,232,239,213,1,1524,7,0,0,7,0,67
2018,1,3,1,4,2018-03-01,F9,N205FR,1977,13204,MCO,"Orlando, FL",FL,Florida,12339,IND,"Indianapolis, IN",IN,Indiana,935,935,0,0,13,1149,7,1207,1156,-11,0,0,,0,152,141,121,1,829,4,,,,,
2018,1,3,1,4,2018-03-01,F9,N205FR,1977,12339,IND,"Indianapolis, IN",IN,Indiana,12889,LAS,"Las Vegas, NV",NV,Nevada,1259,1306,7,7,34,1424,9,1414,1433,19,19,0,,0,255,267,224,1,1590,7,7,0,12,0,0
